Landmark,lat,long,score,link
"Oakland Bay Bridge",37.795294,-122.388961,0.67126739,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-12-06_S6CuFHKGr8.jpg
"Ravenswood Winery",38.301228,-122.441947,0.87010568,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-06-10_LtWYIEqGng.jpg
"Minaret Summit",37.63204259773073,-119.033571,0.53559124,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2013-01-28_VDG_cLqGp9.jpg
"Grauman's Chinese Theatre",34.101694,-118.340947,0.37856334,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-06-23_MOv-KAKGvz.jpg
"Gaviota State Park",34.482532,-120.22783660888672,0.2879121,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-04-26_J5Z9tkqGlB.jpg
"Tower Bridge",38.580614,-121.508188,0.37760729,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-09-28_QG92PMKGvI.jpg
"Disneyland, Entrance",33.809778,-117.91897399999998,0.42681229,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-04-26_J49qm4qGnY.jpg
"Yosemite National Park, Yosemite Falls",37.747235,-119.596095,0.77036434,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-04-27_J8RkFNKGon.jpg
"San Miguel",35.74511,-120.69681999999999,0.46846822,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-12-21_ThAz21KGnf.jpg
"Horsetail Falls",38.82794,-120.123348,0.53520143,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-04-30_KDRKJFKGlV.jpg
"Kodak Theatre",34.10162,-118.340161,0.56424069,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-04-23_JxLBjmqGkC.jpg
"Whisky a Go Go",34.090763,-118.385586,0.65413195,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-12-05_S3W0iRqGh_.jpg
"Coastline",35.138379,-120.644704,0.14881225,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-09-08_PUm7NlKGmQ.jpg
"Painted Ladies",37.7761422535397,-122.433636,0.67289764,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-12-06_S5yeH0KGt5.jpg
"Painted ladies",37.779159,-122.420051,0.29583257,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-12-06_S5yeH0KGt5.jpg
"Scandinavia",48.226355,-101.297625,0.40537253,https://storage.googleapis.com/cloud-vision-instagram/visitcalifornia/2012-07-07_MyuRdGKGl-.jpg
