Landmark,lat,long,score,link
"Central Park",40.786455,-73.963222,0.56498879,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2013-09-24_eqn3L6PiF8.jpg
"New York City",40.748433,-73.985753,0.50278193,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2013-09-24_eqn3L6PiF8.jpg
"Brooklyn Bridge",40.705726,-73.996953,0.44580323,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-08-15_ruxYVCviJ1.jpg
"New York City",40.748433,-73.985753,0.24018374,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-08-15_ruxYVCviJ1.jpg
"Central Park",40.786455,-73.963222,0.51176,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-05-28_ojW1tJviCH.jpg
"Statue of Liberty",40.689261,-74.044482,0.87328243,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-03-04_lIMD4OPiIa.jpg
"Central Park",40.786455,-73.963222,0.48519292,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2013-04-26_Ykd_7qviG4.jpg
"Central Park",40.786455,-73.963222,0.29668882,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-06-11_pHduMBPiLe.jpg
"Chrysler Building",40.751667,-73.975625,0.95876044,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2013-05-31_Z_lPCsviG0.jpg
"New York City",40.748433,-73.985753,0.46995434,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2013-10-28_gCNHd0viMU.jpg
"Central Park",40.786455,-73.963222,0.23148374,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2014-05-04_nlPR3vviFv.jpg
"Scrapbooking",40.778999999999996,-73.9646667,0.57031429,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2013-06-14_ajyMi7PiDB.jpg
"Central Park",40.786455,-73.963222,0.45053643,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2013-06-14_ajyMi7PiDB.jpg
"Lake Placid",44.365894,-73.90289299999999,0.65467978,https://storage.googleapis.com/cloud-vision-instagram/iloveny/2013-10-19_fq4uvbPiHu.jpg
